epoch,train_loss,train_acc,val_loss,val_acc,val_eer,time_sec
1,3.32848850886027,0.17921146953405018,3.293973445892334,0.3225806451612903,0.10999003997653256,17.361852645874023
2,3.1889594660864935,0.5304659498207885,3.2278454303741455,0.3225806451612903,0.11216623688483213,7.800588846206665
3,3.113052315182156,0.6451612903225806,3.1542272567749023,0.41935483870967744,0.18978847457010445,7.75586462020874
4,3.0446342627207437,0.7275985663082437,3.077416181564331,0.6774193548387096,0.17723156827164027,8.106899499893188
5,2.9776711993747287,0.7598566308243727,3.049543857574463,0.6129032258064516,0.18163398960337274,8.284572839736938
6,2.906261788474189,0.8351254480286738,3.0059051513671875,0.7096774193548387,0.1716785140918414,7.6200621128082275
7,2.841563834084405,0.8745519713261649,2.955418348312378,0.7419354838709677,0.09883390410180146,8.059991836547852
8,2.7780711385938854,0.9032258064516129,2.9090471267700195,0.7741935483870968,0.18208423723957265,7.618881940841675
9,2.713500049379137,0.8960573476702509,2.8656790256500244,0.6774193548387096,0.16472468948830946,7.828796625137329
10,2.644157065285577,0.942652329749104,2.814955711364746,0.7741935483870968,0.16715102397227563,7.477898120880127
11,2.585359467400445,0.946236559139785,2.763425827026367,0.7419354838709677,0.10296117410030065,7.855527639389038
12,2.5249363316429987,0.9605734767025089,2.7414209842681885,0.7419354838709677,0.10656315518989992,7.9707190990448
13,2.455368439356486,0.967741935483871,2.645871162414551,0.7419354838709677,0.09675776222376854,7.864833354949951
14,2.3882086012098522,0.985663082437276,2.625244140625,0.7419354838709677,0.09115468052883632,8.30177617073059
15,2.329660654067993,0.96415770609319,2.561974287033081,0.7741935483870968,0.18213426475470595,7.705400705337524
16,2.257442182964749,0.985663082437276,2.5034711360931396,0.8064516129032258,0.0913798043469363,7.988741397857666
17,2.185879733827379,0.992831541218638,2.476355791091919,0.8387096774193549,0.17545559148440731,7.429725646972656
18,2.120800495147705,0.996415770609319,2.419731616973877,0.7419354838709677,0.09082950168046973,2.9833931922912598
19,2.0603011184268527,0.996415770609319,2.3893542289733887,0.8064516129032258,0.10075996343443441,7.760311126708984
20,2.000326977835761,0.996415770609319,2.4124228954315186,0.7419354838709677,0.09062939161993644,7.7477028369903564
21,1.9339083168241713,1.0,2.290499210357666,0.8709677419354839,0.09030421277156983,2.6611380577087402
22,1.8781090709898207,0.992831541218638,2.275571584701538,0.8387096774193549,0.09127974931666963,7.607933044433594
23,1.8166696892844305,0.996415770609319,2.236358642578125,0.7741935483870968,0.09140481810450295,7.56262731552124
24,1.7445612483554416,1.0,2.145730495452881,0.8387096774193549,0.09022917149886985,7.6371424198150635
25,1.6836718718210857,1.0,2.125126838684082,0.8387096774193549,0.09072944665020308,7.596705913543701
26,1.6318819920221965,1.0,2.068838357925415,0.8387096774193549,0.07987347586627191,3.0384840965270996
27,1.5673948261472914,1.0,2.1111679077148438,0.7419354838709677,0.10346144925163386,7.69994044303894
28,1.506557332144843,1.0,1.99967360496521,0.8064516129032258,0.11116568658216566,7.8186516761779785
29,1.4562856488757663,1.0,1.9455217123031616,0.8387096774193549,0.0174846165390965,8.61154317855835
30,1.3960798978805542,1.0,1.9832863807678223,0.7741935483870968,0.09745814743563508,8.662556886672974
31,1.3483152786890666,1.0,1.8640395402908325,0.8064516129032258,0.09070443289263641,7.429321765899658
32,1.3020374642478094,1.0,1.8477271795272827,0.8064516129032258,0.18208423723957265,7.825758457183838
33,1.2471199035644531,1.0,1.7912276983261108,0.8709677419354839,0.09077947416533641,7.525441646575928
34,1.1878163417180378,1.0,1.7388355731964111,0.8387096774193549,0.08547655756120413,7.9147210121154785
35,1.1383502748277452,1.0,1.7748444080352783,0.8387096774193549,0.0905793641048031,7.84748387336731
36,1.1008730199601915,1.0,1.716016173362732,0.8064516129032258,0.09115468052883632,7.8783204555511475
37,1.0397528409957886,1.0,1.6919198036193848,0.8064516129032258,0.09125473555910298,8.218284368515015
38,1.0009300708770752,1.0,1.5615156888961792,0.8709677419354839,0.09072944665020308,7.815165758132935
39,0.9564154942830404,1.0,1.5519726276397705,0.8709677419354839,0.1821842922698393,3.0994374752044678
40,0.9157927367422316,1.0,1.5202701091766357,0.8709677419354839,0.09127974931666963,7.6452343463897705
